text,true_label,pred_label,confidence,error_type
ความใส่ใจโอเคมาก ก็ว่าอยู่,Positive,Neutral,0.4079194382209092,ambiguous / short text
ความใส่ใจโอเคมาก,Positive,Neutral,0.4320542970258454,ambiguous / short text
ประสบการณ์โอเค้มาก 👍,Positive,Neutral,0.43548658112455213,ambiguous / short text
ความใส่ใจโอเคมาก แหละ ✨,Positive,Neutral,0.4356161939950972,ambiguous / short text
คุณภาพกลางๆ,Neutral,Positive,0.45236414804534286,informal / noise
คุณภาพกลางๆ 😐,Neutral,Positive,0.45236414804534286,informal / noise
คุณภาพกลางๆ,Neutral,Positive,0.45236414804534286,informal / noise
บริการโอเคมาก,Positive,Neutral,0.45849274951775837,ambiguous / short text
บริการโอเคมาก,Positive,Neutral,0.45849274951775837,ambiguous / short text
บริการโอเคมาก,Positive,Neutral,0.45849274951775837,ambiguous / short text
บริการโอเคมาก ฟีลแบบ,Positive,Neutral,0.4609727650677149,ambiguous / short text
ดีม้ากกก คุณภาพกลางๆ งงมาก,Neutral,Positive,0.46789404457665507,informal / noise
เก่งมากเลยนะ ความรวดเร็วกลางๆ,Neutral,Positive,0.46950121630501257,sarcasm / irony
แอปโอเคมาก ก็ได้อยู่ ✨,Positive,Neutral,0.4741459921388529,ambiguous / short text
wow เก่งจัง ระบบกลางๆกก,Neutral,Positive,0.4815708083246935,informal / noise
ดีมากกก พนักงานก็โอเค้ 😒,Neutral,Negative,0.49663253466239987,informal / noise
แพ็กของก็โอเค อะ 🤔,Neutral,Negative,0.497468147221492,ambiguous / short text
บริการก็โอเค อะ 🫠,Neutral,Negative,0.5060099599227686,ambiguous / short text
แพ็กของก็โอเค,Neutral,Negative,0.5336851715626739,ambiguous / short text
แพ็กของก็โอเค,Neutral,Negative,0.5336851715626739,ambiguous / short text
คุณภาพกลางๆ งงมาก,Neutral,Positive,0.5369286581055992,informal / noise
พนักงานโอเคมาก ถือว่าได้ ก็ได้อยู่,Positive,Neutral,0.5387728348739423,ambiguous / short text
บริการก็โอเค,Neutral,Negative,0.5576314889588017,ambiguous / short text
พนักงานก็โอเค 👍,Neutral,Negative,0.5684082950830978,ambiguous / short text
คุณภาพกลางๆ นะ,Neutral,Positive,0.5807561260342802,informal / noise
วัสดุโอเค้มาก ก็ได้อยู่ 🙂ๆๆ,Positive,Neutral,0.615092280459979,informal / noise
